Vendor ID,Product ID,Driver,Base layout,Laptop,Event count
2808,0234,ASCF,proartp16,ProArt P16 H7606WI_H7606WI,19
2808,0220,ASCF,proartp16,ProArt PX13 HN7306WV_HN7306WV,16
2808,0234,ASCF,proartp16,ProArt P16 H7606WV_H7606WV,11
04F3,32A0,ASUE,asusvivobook16x,Zenbook UX6404VV_UX6404VV,10
04F3,31DE,ASUE,asusvivobook16x,Vivobook_ASUSLaptop X7400PC_N7400PC,7
04F3,31D4,ASUE,asusvivobook16x,Vivobook_ASUSLaptop M7600QE_M7600QE,7
093A,3014,ASCP,proartp16,ProArt P16 H7606WV_H7606WV,7
2808,0220,ASCF,proartp16,ProArt PX13 HN7306WU_HN7306WU,7
04F3,31AF,ASUE,proartp16,ProArt Studiobook H7600ZW_H7600ZW,6
04F3,31AF,ASUE,proartp16,ProArt Studiobook H7600ZM_H7600ZM,5
093A,3014,ASCP,proartp16,ProArt P16 H7606WI_H7606WI,5
093A,300B,ASUP,asusvivobook16x,ASUS Vivobook Pro 15 N6506MV_N6506MV,5
093A,300B,ASUP,proartp16,ASUS Vivobook Pro 15 N6506MV_N6506MV,5
2808,0220,ASCF,proartp16,ProArt PX13 HN7306WI_HN7306WI,5
04F3,32A0,ASUE,asusvivobook16x,Zenbook UX6404VI_UX6404VI,4
04F3,32A0,ASUE,proartp16,Zenbook UX6404VV_UX6404VV,4
04F3,31AF,ASUE,proartp16,ProArt StudioBook H5600QM_H5600QM,4
093A,300C,ASUP,zenbookpro14,ASUS Zenbook 14 UX3405CA_UX3405CA,4
04F3,31D4,ASUE,asusvivobook16x,Vivobook_ASUSLaptop M7600QC_M7600QC,3
04F3,31D4,ASUE,asusvivobook16x,Vivobook_ASUSLaptop M7601RM_M7601RM,3
093A,3013,ASCP,proartp16,ProArt PX13 HN7306WU_HN7306WU,3
2808,0234,ASCF,proartp16,ProArt P16 H7606WP_H7606WP,3
04F3,329C,ASUE,asusvivobook16x,Vivobook_ASUSLaptop K6604JI_K6604JI,2
04F3,31BC,ASUE,asusvivobook16x,Vivobook_ASUSLaptop M6400RC_M6400RC,2
04F3,31AF,ASUE,proartp16,ProArt StudioBook W7600H3A_W7600H3A,2
04F3,3134,ASUE,asusvivobook16x,ZenBook UX425EA_UX425EA,2
093A,300B,ASUP,proartp16,ASUS Vivobook Pro 15 N6506CU_N6506CU,2
2808,0234,ASCF,proartp16,ProArt P16 H7606WI,2
093A,3F01,ASUP,asusvivobook16x,Zenbook UX7602VI_UX7602VI,1
093A,3F01,ASUP,asusvivobook16x,Zenbook UX7602ZM_UX7602ZM,1
04F3,32E2,ASCE,proartp16,ASUS TUF Gaming A16 FA608WI_FA608WI,1
04F3,32CD,ASUE,asusvivobook16x,ASUS Vivobook Pro 15 N6506CU_N6506CU,1
04F3,32A0,ASUE,zenbookpro14,Zenbook UX6404VV_UX6404VV,1
04F3,329C,ASUE,asusvivobook16x,Vivobook_ASUSLaptop K6604JV_K6604JV,1
04F3,3274,ASUE,proartp16,ProArt Studiobook H7604JI_H7604JI,1
04F3,3274,ASUE,proartp16,ProArt Studiobook H7604JV_H7604JV,1
04F3,3274,ASUE,proartp16,ProArt Studiobook W7604J3D_W7604J3D,1
04F3,31FB,ASUE,proartp16,ROG Flow X16 GV601RW_GV601RW,1
04F3,31DE,ASUE,asusvivobook16x,Vivobook_ASUSLaptop M7400QC_M7400QC,1
04F3,31DE,ASUE,asusvivobook16x,Vivobook_ASUSLaptop M7400QE_M7400QE,1
04F3,31DE,ASUE,proartp16,Vivobook_ASUSLaptop M7400QE_M7400QE,1
04F3,31D4,ASUE,proartp16,Vivobook_ASUSLaptop M7601RM_M7601RM,1
04F3,31B9,ASUE,asusvivobook16x,Zenbook UN5401QAB_UN5401QA,1
04F3,31B9,ASUE,proartp16,Zenbook UN5401QAB_UN5401QA,1
04F3,31B9,ASUE,proartp16,Zenbook UX3404VA_Q420VA,1
04F3,31AF,ASUE,asusvivobook16x,ProArt StudioBook H5600QM_H5600QM,1
04F3,31AF,ASUE,proartp16,ProArt StudioBook H7600HM_H7600HM,1
04F3,31AF,ASUE,asusvivobook16x,ProArt Studiobook H7600ZM_H7600ZM,1
04F3,319F,ASUE,proartp16,ROG Zephyrus G15 GA503QE_GA503QE,1
04F3,3157,ASUE,asusvivobook16x,VivoBook_ASUSLaptop E410MAB_E410MA,1
04F3,3134,ASUE,asusvivobook16x,ZenBook UX425IA_UM425IA,1
04F3,3101,ELAN,asusvivobook16x,ZenBook Pro Duo UX582LR_1,1
04F3,3101,ASUE,asusvivobook16x,Zenbook Pro Duo UX582ZW,1
04F3,30BF,ELAN,asusvivobook16x,ZenBook UX333FA_UX333FA,1
04F3,307A,ELAN,asusvivobook16x,ASUS TUF Gaming A15 FA506NC_FA506NC,1
04F3,3032,ELAN,zenbookpro14,UX461UA,1
093A,3013,ASCP,proartp16,ProArt PX13 HN7306WI_HN7306WI,1
093A,3013,ASCP,proartp16,ProArt PX13 HN7306WV,1
093A,300B,ASUP,proartp16,ASUS Vivobook Pro 15 N6506MJ_Q533MJ,1
093A,2009,ASUP,asusvivobook16x,Vivobook_ASUSLaptop X1404VA_X1404VA,1
2808,0234,ASCF,proartp16,ProArt P16 H7606WV,1
2808,0220,ASCF,proartp16,ProArt PX13 HN7306WU,1
2808,0220,ASCF,asusvivobook16x,ProArt PX13 HN7306WV_HN7306WV,1